Table 3,,,,
Correlations for 260 pictures across all culture-by-age groups.,,,,
,,,,
a) Mean name agreement percentages,,,,
,,,,
 ,Younger American,Older American,Younger Chinese,Older Chinese
Younger American,1,,,
Older American,.59 **,1,,
Younger Chinese,.37 **,.22 **,1,
Older Chinese,.39 **,.28 **,.88 **,1
,,,,
,,,,
b) Mean concept agreement percentages,,,,
,,,,
 ,Younger American,Older American,Younger Chinese,Older Chinese
Younger American,1,,,
Older American,.57 **,1,,
Younger Chinese,.41 **,.28 **,1,
Older Chinese,.38 **,.33 **,.89 **,1
,,,,
,,,,
c) Mean familiarity ratings,,,,
,,,,
 ,Younger American,Older American,Younger Chinese,Older Chinese
Younger American,1,,,
Older American,.93 **,1,,
Younger Chinese,.39 **,.38 **,1,
Older Chinese,.32 **,.27 **,.73 **,1
,,,,
,,,,
**  Correlation is significant at the 0.01 level (2-tailed).,,,,
