Table 8 (Unabridged),,,,,,,,
"Summary Statistics of Familiarity Ratings for Americans and Chinese, by Age Groups",,,,,,,,
,,,,,,,,
Culture,Age Group,Familiarity,,,,,,
,,M,SD,Mdn,Q1,Q3,Range,Skew
American,Younger,3.51,0.94,3.46,2.76,4.3,1.62 – 4.97,1.2
,Older,4.04,0.69,4.17,3.41,4.68,2.60 – 5.00,0.67
,Combined,3.77,0.87,3.85,3.11,4.57,1.62 – 5.00,0.97
Chinese,Younger,4.52a,0.46,4.66,4.36,4.85,2.89 – 5.00,0.63
,Older,4.58a,0.49,4.72,4.44,4.89,2.63 – 5.00,0.61
,Combined,4.55,0.48,4.7,4.41,4.87,2.63 – 5.00,0.58
,,,,,,,,
"Note.   Familiarity ratings were assessed on 5-point scales (1 = the object is not at all familiar to me, 5 = the object is highly familiar to me).",,,,,,,,
Note.   Means in the same column that do not share subscripts differ at p < .05.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
