	Means and Standard Deviations for Ratings of 24 Abstract Three-line Shapes on Four Characteristics and the Number of Word Associations Generated in 30s for each Shape. 1														
															
															
	Shape ID			Overall Rating		Shape Characteristic Rated									
	Number			for Shapes	Familiarity	Associability	Describability	Availability			
	& example		M	SD	M	SD	M	SD	M	SD	M	SD		
	S01			6.09	1.2	6.7	1.1	5.58	1.56	6.78	0.58	5.31	1.56		
	S03			5.95	1.28	6.57	1.15	5.56	1.54	6.48	0.85	5.19	1.59		
	S02			6.04	1.22	6.12	1.23	5.65	1.51	6.46	1.02	5.93	1.1		
	S04			5.92	1.21	5.76	1.36	5.7	1.28	6.42	0.87	5.78	1.34		
	S06			5.49	1.38	5.61	1.54	4.9	1.57	6.37	0.96	5.09	1.44		
	S05			5.51	1.35	5.44	1.58	4.99	1.58	6.41	0.87	5.2	1.35		
	S07			5.12	1.48	4.85	1.72	4.3	1.69	6.15	1.03	5.16	1.49		
	S08			4.79	1.47	4.74	1.46	3.96	1.53	5.96	1.35	4.5	1.55		
	S09			3.85	1.56	3.89	1.65	3.4	1.52	4.4	1.63	3.69	1.42		
	S10			3.81	1.53	3.74	1.67	3.64	1.59	4.03	1.48	3.84	1.38		
	S14			3.51	1.5	3.7	1.51	3.51	1.53	3.63	1.66	3.21	1.28
	S12			3.63	1.35	3.64	1.48	3.39	1.38	3.8	1.31	3.7	1.23
	S11			3.64	1.36	3.57	1.47	3.58	1.51	3.76	1.31	3.63	1.14
	S19			3.25	1.45	3.47	1.53	3.06	1.44	3.16	1.46	3.29	1.38
	S15			3.46	1.35	3.4	1.43	3.06	1.36	3.82	1.34	3.54	1.25
	S16			3.37	1.37	3.39	1.41	3.1	1.4	3.53	1.39	3.45	1.28
	S20			3.22	1.57	3.33	1.73	2.94	1.47	3.39	1.64	3.23	1.42
	S18			3.28	1.37	3.29	1.41	3.04	1.32	3.44	1.41	3.35	1.32
	S23			3.13	1.34	3.24	1.45	2.93	1.3	3.33	1.35	3.03	1.25
	S22			3.17	1.33	3.2	1.47	2.9	1.28	3.39	1.22	3.17	1.33
	S13			3.54	1.47	3.18	1.48	3.36	1.49	3.72	1.46	3.88	1.45
	S21			3.2	1.45	3.18	1.55	2.95	1.4	3.43	1.38	3.23	1.47
	S17			3.33	1.44	3.15	1.46	2.81	1.39	3.93	1.64	3.43	1.27
	S24			3.08	1.29	3.12	1.41	2.9	1.41	3.18	1.18	3.13	1.15
	Grand M			4.14	1.39	4.18	1.47	3.8	1.46	4.54	1.27	4.04	1.35
													
	Note: Rating data are from 63 of the original 67 participants (four discarded as outliers).												
	1 Ratings are continuous measurements (interval data) from semantic differential scales ranging in values from 1 to 7.												
