Description	IADS #	category: 1 sd	category: 0.5 sd	mean hap	sd hap	mean fear	sd fear	mean ang	sd ang	mean dis	sd dis	mean sad	sd sad		n
TomCat	100	   	   	1.9167	1.8727	3.4167	2.4187	3.9167	2.5341	3.3056	2.7961	4.2778	2.5924		36
PuppyCry	105	   	S  	1.3243	1.0555	4.2432	3.0222	2.6757	2.3811	2.2162	2.2869	6.2162	2.8493		37
DogGrowl	106	AF 	AF 	1.25	0.7319	6.6667	2.798	6.7778	2.5979	3.5833	2.6659	2.2778	1.8301		36
Carousel	109	H  	H  	7.25	2.2725	1.9722	1.7482	1.1389	0.6393	1.4722	1.483	1.1389	0.6825		36
BabyLaugh	110	H  	H  	8.0278	1.6473	1.3611	1.0731	1.2778	1.0586	1.75	1.918	1.1667	0.5071		36
MusicBox	111	   	HS 	3.9143	2.6276	1.9714	1.9924	2.0286	1.7571	1.5714	1.8987	4	2.6789		35
KidsInPark	112	H  	H  	7.3784	2.0324	1.3784	1.1143	1.2162	1.1817	1.3243	1.2031	1.2432	0.9251		37
Cows	113	   	   	2.1111	1.8482	2.5833	2.1297	2.8889	2.2901	2.9444	2.4488	1.9722	1.7645		36
Bees	115	   	F  	1.4167	1.1052	5.75	2.7813	3.5	2.5355	3.4167	2.4539	1.6667	1.1952		36
Wasp	116	   	AFD	1.3784	1.0369	4.1351	2.7905	3.4865	2.5454	3.7297	2.9216	1.4595	1.1204		37
Rooster	120	   	   	2.6216	1.991	2.5135	2.3169	2.2432	2.1135	1.6486	1.5495	1.4054	1.1416		37
Pig	130	   	AFD	1.5405	1.4062	5.2973	2.7975	5.1622	2.6824	4.9189	3.0311	2.5676	2.2551		37
Chickens	132	   	   	2.2973	1.8983	1.5405	1.0164	1.8378	1.5003	2.2162	2.3349	1.3243	0.9444		37
Bear	133	   	F  	1.5676	1.2811	5.8649	2.8593	4.4054	2.5869	2.8919	2.3188	1.8919	1.5773		37
Cardinal	151	H  	H  	6.8	2.2466	1.3143	1.3234	1.1429	0.6482	1.2571	1.3793	1.1429	0.4937		35
Tropical	152	H  	H  	5.8919	2.4696	2.1892	2.1582	1.6486	1.5132	1.5946	1.5359	1.4324	1.0939		37
CountryNight	171	   	   	3.1622	2.3513	2.3514	2.0168	1.5676	1.0149	2.4865	2.0766	1.5135	1.0171		37
EroticCouple	200	HD 	HD 	5.5946	3.2784	1.5676	1.6757	1.5405	1.4258	5.3784	3.04	1.5676	1.8034		37
EroticFem1	201	HD 	HD 	5.8378	3.0232	1.6757	1.7959	1.3243	1.0015	4.9459	3.0817	1.2162	0.917		37
EroticFem2	202	HD 	HD 	6.0833	2.8523	1.7778	1.8379	1.3333	0.6761	5.8056	3.0125	1.25	1.0247		36
EroticFem3	205	*	HD 	4.7297	2.8348	1.6757	1.5102	1.1892	0.4618	4.6757	2.8485	1.8378	1.4628		37
Shower	206	H  	H  	5.1351	2.6891	1.2703	0.9021	1.1351	0.7134	1.6486	1.5673	1.1081	0.6986		37
EroticMale1	210	   	HD 	4.0833	2.9605	1.8333	1.7968	1.1944	0.7491	4.9444	3.0608	1.3056	1.0907		36
EroticCouple2	215	HD 	HD 	5.6486	3.3101	1.4865	1.5206	1.5676	1.4633	5.2432	3.1571	1.1622	0.7643		37
EroticCouple3	216	HD 	HD 	6.1351	2.8202	2.2162	2.2377	1.6216	1.7377	5.4324	2.7542	1.4324	1.1676		37
BoyLaugh	220	H  	H  	7.9444	2.1104	1.3611	1.2907	1.1389	0.5929	1.5278	1.521	1.1111	0.4646		36
MaleLaugh	221	H  	H  	7.3243	2.1609	1.8919	1.8071	1.3514	1.3584	1.7027	1.7299	1.2432	1.3209		37
ClapGame	225	H  	H  	5.6757	2.2491	1.4054	1.3008	1.3243	1.2705	1.4054	1.2351	1.4595	1.3037		37
Laughing	226	H  	H  	7.2222	2.5084	1.6667	1.7728	1.5278	1.8437	1.5833	1.6626	1.5	1.5399		36
Giggling	230	H  	H  	6.9714	2.37	1.2571	0.95	1.0857	0.5621	1.5429	1.8684	1.3714	1.2387		35
NoseBlow	251	D  	D  	1.2778	0.9445	1.25	0.8742	1.3333	1.2189	5.8333	2.952	2.0833	2.0336		36
MaleSnore	252	D  	D  	1.5	1.1084	1.6944	1.6702	1.9444	1.8508	5.0556	2.7974	1.3056	0.8559		36
VideoGame	254	   	H  	4.2222	2.3435	1.8889	1.6695	2.3056	2.1357	1.6944	1.8019	1.3056	0.9202		36
BabyCry	261	S  	S  	1.3784	1.4405	3.6757	2.4159	4.2162	2.8977	1.8108	1.9697	6.8919	2.3426		37
Yawn	262	   	   	1.9189	1.4977	1.3243	1.2031	1.1351	0.6308	1.8378	1.9792	1.4595	1.1449		37
Whistling	270	H  	H  	5.9143	2.4055	1.2571	0.8168	1.1714	0.7854	1.2	1.0516	1.2286	0.8432		35
FemScream2	276	F  	F  	1.1111	0.5225	8.0833	1.8107	5.3056	2.984	3.9722	2.7201	6.1944	2.5615		36
FemScream3	277	F  	F  	1.4865	1.5745	8.2973	1.5067	4.5405	2.8925	4.1622	2.9955	5.4324	2.9301		37
ChildAbuse	278	neg	ASF	1.2432	1.3209	7.1351	2.1103	7.2432	1.8319	5.4865	3.2285	7.8649	2.0971		37
Attack1	279	neg	F  	1.3056	1.2608	8.7778	0.5404	8.25	1.5924	6.75	2.6118	7.3611	1.8846		36
Funeral	280	S  	S  	1.25	0.6918	3.9722	2.7306	2.25	1.9621	2.2222	1.9583	6.8889	2.4817		36
Attack2	285	*	*	1.2432	1.3825	8.1622	2.1018	7.2703	2.735	5.8378	3.1755	6.8378	2.6511		37
Victim	286	*	F  	1.25	1.3601	8.5	1.5766	6.1111	3.0216	5.25	3.1018	7.25	2.7295		36
CardiacArrest	287	   	SF 	1.2778	1.0853	4.75	2.9118	2.1389	2.0305	1.7778	1.8839	3.9167	3.1018		36
Fight	290	*	AF 	1.0556	0.3333	7.8611	1.9443	8.2778	1.7503	5.1667	3.1578	6.3333	2.7464		36
Prowler	291	F  	F  	1.3056	1.0907	6.7778	2.4508	3.1667	2.1974	2.75	2.1827	2.6111	1.9314		36
MaleScream	292	   	F  	1.0882	0.5704	7.4706	2.2595	5.8235	3.0198	3.6176	3.0253	6.0882	2.4786		34
Crowd1	310	   	F  	2.9444	2.7039	5.7778	3.296	2.9722	2.613	2.0278	1.7318	3.3333	2.7464		36
Crowd2	311	   	F  *	1.8919	1.7761	3.4054	2.7934	1.8919	1.7446	1.5946	1.5359	1.5405	1.5201		37
Office2	319	   	   	1.7297	1.4073	1.5946	1.3836	1.5676	1.0939	1.6216	1.5519	1.3243	0.7474		37
Office1	320	   	   	1.9444	1.7719	1.8056	1.7699	1.9167	1.8264	1.6389	1.7263	1.6389	1.397		36
TypeWriter	322	   	   	2.0833	1.9766	1.6944	1.6873	2.0278	2.1711	1.4167	1.2956	1.5	1.1832		36
Traffic	325	   	   	1.7838	1.7816	2.2703	1.9811	1.8919	1.969	1.2432	1.0905	1.2162	0.917		37
Applause	351	H  	H  	7.0278	2.0352	1.2778	0.9137	1.1944	0.8559	1.3333	1.2873	1.2778	0.9743		36
SportsCrowd	352	H  	H  	7.0833	2.4068	1.4722	1.1829	1.3889	0.9936	1.4722	1.5764	1.3056	0.9804		36
Baseball	353	H  	H  	7.8378	1.9792	1.3243	1.2922	1.1892	0.7393	1.4324	1.4821	1.2432	0.8302		37
Writing	358	   	   	1.4324	1.2143	1.6757	1.5102	2.3514	2.0442	1.6486	1.6367	1.2703	1.0179		37
RollerCoaster	360	HF 	HF 	4.8	3.0176	5.6286	2.4981	1.4286	1.0084	1.4286	1.481	1.5714	1.5202		35
Restaurant	361	H  	H  	4.7297	2.2441	1.5946	1.4232	1.4324	1.2811	1.5676	1.6422	1.4054	0.9849		37
Football	362	   	   	3.0278	2.1972	2.5556	2.1172	2.4444	2.1172	1.7778	1.9873	1.4722	1.3833		36
CourtSport	370	   	H  	3.2703	2.7452	1.1892	0.6163	1.2432	0.7603	1.027	0.1644	1.0811	0.3635		37
JackHammer	380	   	   	1.2162	0.7504	3.2973	2.7675	3.3514	2.627	2.0811	1.673	1.5946	1.4036		37
Jet	400	   	   	2.3514	2.0168	3.5135	2.4678	2	1.6997	1.4865	1.592	1.6757	1.4917		37
Applause	401	H  	H  	6.4722	2.1579	1.1944	0.5248	1.0556	0.2323	1.2778	1.0586	1.1111	0.3187		36
Helicopter1	403	   	F  	1.7568	1.6228	4	2.4381	2.2432	2.0871	1.5135	1.5023	1.5135	0.9609		37
Helicopter2	410	   	F  	1.5833	1.2734	3.75	2.5341	1.6667	1.5119	1.3889	1.4398	1.8611	1.7428		36
Countdown	415	   	HF 	3.4865	2.6523	3.7027	2.448	1.5946	1.4426	1.4054	1.4806	1.4054	0.9849		37
CarHorns	420	   	AF 	1.7222	1.632	3.3333	2.6939	4.6111	3.0358	1.6389	1.6929	1.5278	1.5021		36
TireSkids	422	*	F  	1.1622	0.5534	6.5676	2.7643	4.027	2.986	2.5135	2.479	3.5405	2.5121		37
Injury	423	   	*	1.4857	1.4011	3.3429	2.5198	4.5714	2.682	2.8571	2.3657	2.3714	1.8956		35
CarWreck	424	   	F  	1.1111	0.5225	7.9167	1.7464	4.2778	2.8042	3.0556	2.5961	6.5278	2.6778		36
Train	425	   	F  	1.7838	1.6182	3.5946	2.4995	2.1622	2.3394	1.5405	1.4258	1.973	2.0479		37
Wind	500	F  	F  	1.5278	1.0552	5.3889	2.7074	2.3889	1.9897	1.6667	1.2873	2.5278	1.9638		36
PlaneCrash	501	   	   	1.1944	0.7491	5.3333	2.8082	3.1111	2.6487	1.8056	1.4307	4.2778	2.9043		36
EngineFailure	502	   	   	1.2778	1.2331	2.8889	2.1082	4.25	2.6227	1.8611	2.1267	3.2222	2.4156		36
BikeWreck	600	*	F  	1.25	0.6492	8.0833	1.6626	3.9722	2.7618	3.5278	2.9615	6.5556	2.843		36
ColonialMusic	601	H  	H  	5.9459	2.7883	1.7027	1.793	1.1351	0.5851	1.1892	1.0498	1.4595	1.2604		37
Thunderstorm	602	   	F  	2.1944	2.0399	4.3056	2.6492	2.9167	2.4539	1.4722	1.4636	2.7222	2.1595		36
CboyIndians	610	   	H  	4.5278	2.9324	2.9167	2.6444	1.8611	1.8846	1.8056	2.0399	1.4444	1.2749		36
MayDay	625	   	F  	1.1111	0.4646	7.4444	2.2608	3.4167	2.4655	2.1389	2.1267	5.4167	2.7503		36
Bombs	626	   	F  	1.2703	0.8383	6.6216	2.4983	4.2162	3.1014	2.6216	2.1903	3.1892	2.6857		37
HowlingRain	627	F  	F  	1.5676	1.3026	5.8108	2.3195	2.0811	1.7058	1.8919	1.8676	2.2162	2.0294		37
Bomb	698	   	F  	1.4412	1.5607	6.6176	2.7636	4.5882	3.0163	2.9706	2.5523	4.1471	2.9453		34
Raging Fire	699	F  	F  	1.3333	1.069	6.6944	2.3521	4.1667	3.0659	2.8056	2.4357	4.1944	2.8165		36
ToiletFlush	700	D  	D  	1.4167	1.1052	1.2778	1.0032	1.2778	1.0853	5.3056	2.8866	1.0556	0.4102		36
Fan	701	   	   	1.8108	1.411	1.973	1.8331	1.5405	1.3863	1.1892	0.7007	1.2703	0.8383		37
Belch	702	D  	D  	2	1.7159	1.5405	1.4258	1.3243	0.9734	7.027	2.4998	1.2162	0.8542		37
TouchTone	704	   	   	1.7568	1.6567	1.2703	1.1702	1.4324	1.2811	1.3514	1.476	1.2162	0.8862		37
RotaryDial	705	   	   	2.5556	2.1037	1.9444	1.8662	1.5	1.4832	1.25	1.4015	1.3056	0.9202		36
War	706	   	AF 	1.2973	0.8454	4.4865	2.6523	4.0811	2.5861	2.3514	1.961	2.6216	2.2651		37
ClockTick	708	   	   	1.5946	1.5359	2.4054	2.1789	2.2432	2.1003	1.6757	1.4348	1.7568	1.6056		37
AlarmClock	709	   	   	1.7568	1.6228	3.5676	2.6827	3.2973	3.0264	2.1081	2.3545	2.1081	2.0383		37
Cuckoo	710	   	   	3.1143	2.4467	2.2286	2.1016	2.0571	2.0428	1.6571	1.714	1.3714	0.7311		35
Sirens	711	*	F  	1.4324	1.2143	6.7027	2.5589	2.6757	2.5826	1.7027	1.7459	4.4054	2.8525		37
Buzzer	712	*	F  	1.2286	0.8075	7	2.3887	4.8286	2.7277	1.8286	1.8863	2.2	1.8912		35
BrushTeeth	720	   	D  	1.8889	1.4693	1.3889	1.5171	1.2778	1.0586	4.1111	2.8961	1.0278	0.1667		36
Beer	721	   	   	3.1081	2.3662	1.5135	1.4068	1.4054	1.1416	2.3514	2.2634	1.2703	0.8708		37
Walking	722	   	*	1.6216	1.2327	3.1892	2.5802	2.8108	2.4815	1.2703	0.7691	1.5676	1.4442		37
Radio	723	   	   	2.0556	2.0416	1.9444	1.9849	1.5278	1.298	1.3333	1.1212	1.5	1.1832		36
Chewing	724	   	D  	2.1892	1.9977	1.8919	1.7604	1.5405	1.4831	4.1081	3.0531	1.2432	0.9251		37
SodaFizz	725	   	D  	2.1351	2.1103	1.6486	1.918	1.3243	1.3345	3.6216	2.691	1.5676	1.5906		37
Cork	726	   	   	1.8333	1.7321	1.4444	1.4431	1.3333	1.1711	1.9167	1.8107	1.25	1.0522		36
GlassBreak	730	   	AF 	1.2222	0.7968	4.3611	2.8097	5.4444	2.9027	2.5	2.0908	2.9167	2.0891		36
