Description	IADS #	category: 1 sd	category: 0.5 sd	mean hap	sd hap	mean fear	sd fear	mean ang	sd ang	mean dis	sd dis	mean sad	sd sad		n
TomCat	100	   	   	2.0526	2.0788	3.3947	2.3657	3.7895	2.5272	3.1842	2.7691	4.1579	2.584		38
PuppyCry	105	   	S  	1.5	1.1832	4.5278	2.8932	2.8611	2.3318	2.3889	2.2713	6.4722	2.524		36
DogGrowl	106	AF 	AF 	1.2368	0.7141	6.7632	2.7552	6.8947	2.5763	3.7632	2.7454	2.2105	1.8033		38
Carousel	109	H  	H  	7.75	1.4417	2.0556	1.6894	1.1944	0.5767	1.5556	1.4431	1.1944	0.6242		36
BabyLaugh	110	H  	H  	8.0789	1.6172	1.3421	1.0469	1.2632	1.0315	1.7105	1.8731	1.1579	0.4946		38
MusicBox	111	   	HS 	4.2162	2.7702	1.9459	1.9285	2.0541	1.6988	1.6757	1.9156	3.8919	2.633		37
KidsInPark	112	H  	H  	7.6216	1.6219	1.4054	1.0919	1.2432	1.1644	1.3514	1.1836	1.2703	0.9021		37
Cows	113	   	   	2.1579	1.8676	2.5263	2.0891	2.8421	2.2484	2.9211	2.3867	1.9474	1.7234		38
Bees	115	   	F  	1.3947	1.079	5.7105	2.7204	3.4737	2.512	3.3158	2.4285	1.7105	1.2282		38
Wasp	116	   	AFD	1.3947	1.0277	4.1842	2.7691	3.6053	2.6153	3.8684	3.006	1.4737	1.1086		38
Rooster	120	   	   	2.8378	2.128	2.5405	2.2924	2.2703	2.0903	1.6757	1.5285	1.4324	1.119		37
Pig	130	   	AFD	1.5526	1.3891	5.2895	2.7598	5.1842	2.6494	4.8947	2.9936	2.5789	2.2255		38
Chickens	132	   	   	2.3158	1.876	1.5526	1.0053	1.8158	1.4861	2.2105	2.3034	1.3421	0.938		38
Bear	133	   	F  	1.6216	1.255	6.1081	2.7262	4.6486	2.5843	3.0811	2.3615	1.9189	1.5524		37
Cardinal	151	H  	H  	7.1081	1.9117	1.3243	1.2705	1.1622	0.6015	1.2703	1.326	1.1892	0.4618		37
Tropical	152	H  	H  	5.8947	2.4361	2.1842	2.129	1.6579	1.4937	1.5789	1.518	1.4211	1.0813		38
CountryNight	171	   	   	3.1842	2.3233	2.4737	2.1275	1.6316	1.0761	2.5789	2.1262	1.5	1.0067		38
EroticCouple	200	HD 	HD 	5.9722	3.0471	1.6389	1.6588	1.6111	1.3995	5.6111	2.8211	1.6389	1.7913		36
EroticFem1	201	HD 	HD 	6.0811	2.9	1.7297	1.774	1.3514	0.978	5	3.0092	1.2432	0.8946		37
EroticFem2	202	HD 	HD 	6.0263	2.9361	1.7368	1.7962	1.3158	0.6619	5.8684	2.9789	1.2368	0.9982		38
EroticFem3	205	HD *	HD 	4.7895	2.8204	1.6579	1.4937	1.2105	0.4741	4.6579	2.8119	1.8158	1.4492		38
Shower	206	H  	H  	5.1892	2.6017	1.3243	0.8836	1.1622	0.6877	1.6757	1.5466	1.1892	0.7393		37
