APPENDIX A																		
"The following information is shown below: Item is the identifying number of each picture, "																		
"Intended name is the intended name for each concept, modal name is the name given by the"																		
"majority of subjects, the H statistic and the percentage agreement (%) are two measures of name"																		
"agreement; the means and standard deviations are for ratings of image agreement, familiarity, "																		
"complexity, and age of acquisition, F is the frequency for each single-word name, (taken from "																		
"Content, Mousty, & Radeau, 1990); the main verbal association for each single-word name is "																		
"presented when available (taken from Ferrand & Alario, 1998)."																		
				Name Agreement		Image Agreement		Familiarity		Complexity		Variability		Age of Acquisition				
Item	Intended Name	Modal Name	English	H	%	M	SD	M	SD	M	SD	M	SD	M	SD	F	Verbal Association	%
45	canon	canon	cannon	0.16	93	3.43	1.04	1.07	0.25	4.62	0.49	2.03	0.61	3.08	0.98	45.13	guerre	39.3																							
46	casquette	casquette	cap	0.29	96	1.8	0.85	2.57	1.07	2.28	0.75	3.07	0.83	2.27	0.78	14.84	soleil	18																							
47	voiture	voiture	car	0.15	96	3	0.95	4.53	1.07	3.83	0.54	4.43	0.82	1.4	0.58	118	rouler	11.2																							
48	carotte	carotte	carrot	0	100	4.47	0.63	3.9	0.96	3.07	0.92	2.3	0.79	1.58	0.64	3.14	lapin	23.6																							
49	chat	chat	cat	0	100	3.5	1.04	3.63	1.43	3.59	0.87	4.17	1.05	1.35	0.49	43.26	chien	30.3																							
50	chenille	chenille	caterpillar	0.34	89	3.83	1.21	1.47	0.73	3.83	0.89	2.37	0.81	2.65	0.75	6.63	papillon	31.5																							
51	céleri	céleri	celery	0.65	61	1.8	1.27	2	1.14	4.66	0.61	1.87	0.68	3.46	1.03	0.63	légume	27																							
52	chaîne	chaîne	chain	0.67	79	2.93	1.66	2.93	1.39	2.72	1.03	3.17	1.15	2.69	0.84	40.5	vélo	14.6																							
53	chaise	chaise	chair	0	100	3.13	0.97	4.93	0.25	2.24	0.74	3.43	1.14	1.38	0.64	81.68	table	34.8																							
54	cerise	cerise	cherry	0.29	93	3.77	1.19	3.13	1.14	1.34	0.61	2.73	1.01	2	0.8	7.01	rouge	29.2
55	poule	poule	chicken	0.47	82	4.37	0.76	2.3	1.09	3.79	0.86	2.47	0.82	1.5	0.58	21.82	coq	36
56	burin	tournevis	chisel	0.98	29	2.87	1.7	1.73	0.94	2.97	0.68	1.67	0.84	4.04	0.77	0.46	marteau	19.1
57	église	église	church	0.15	96	3.27	0.91	2.97	1.3	3.86	0.74	3.8	1.1	2.27	0.87	175	clocher	11.2
58	cigare	cigare	cigar	0	100	3.8	0.81	2	1.08	3.59	1.05	2.33	0.8	2.96	1.04	14.12	fumée	21.3
59	cigarette	cigarette	cigarette	0.29	93	3.93	0.94	4.1	1.24	2.17	0.89	2.87	1.07	2.38	0.8	44.71	fumée	20.2
60	horloge	horloge	clock	1.01	54	1.7	0.79	4.73	0.52	2.14	0.79	3.57	0.9	2.69	0.97	13.86	heure	55
61	pince à linge	pince à linge	clothespin	0	100	4.83	0.46	3.1	1.21	3.07	0.75	2.4	1.07	2.65	0.8	3.48	linge	21.3
62	nuage	nuage	cloud	0.4	89	2.9	0.8	3.87	1.28	2.45	0.91	3.47	1.14	1.68	0.63	64.11	pluie	27
63	clown	clown	clown	0.29	93	3.47	0.9	1.83	0.83	4.41	0.63	2.93	0.98	1.52	0.77	2.59	cirque	22.5
64	manteau	manteau	coat	0.29	93	3.23	0.9	4.53	0.82	2.59	0.63	3.73	1.14	1.76	0.83	47.94	froid	24.7
65	peigne	peigne	comb	0	100	3.83	0.95	3.87	1.22	2.69	0.66	2.62	0.82	2	0.75	6.08	cheveux	48.3
66	maïs	maïs	corn	0.56	75	3.9	1.18	3.1	0.8	4.21	0.68	2.4	0.77	2.6	0.87	7.48	jaune	20.2
67	canapé	canapé	couch	0.34	89	3.17	1.02	4.4	0.89	2.31	0.81	3.27	1.14	2.16	0.9	8.93	lit	22.5
68	vache	vache	cow	0	100	3.4	0.89	2.63	0.96	3.59	0.68	2.73	0.83	1.6	0.76	35.26	lait	42.7
69	couronne	couronne	crown	0	100	3.33	0.96	1.4	0.62	4.1	0.67	2.77	0.97	2.2	0.82	28.33	roi	39.3
70	tasse	tasse	cup	0.15	96	3.6	0.81	4.83	0.46	1.69	0.47	3.5	0.94	2.16	0.8	21.31	à café	39.3																									
71	cerf	cerf	deer	0.29	93	3.8	0.96	1.87	1.07	3.66	0.72	2.2	0.66	2.88	1.14	3.82	biche	25.8																							–	–	
72	bureau	bureau	desk	0	100	3.2	0.81	4.6	0.93	2.97	0.73	3.67	0.88	2.65	0.85	105	travail	47.2																							–	–	–
73	chien	chien	dog	0	100	2.23	0.77	3.8	1.06	2.76	0.74	4.33	0.76	1.19	0.4	121	chat	48.3																									
74	poupée	poupée	doll	0.94	54	2	0.64	3.07	1.01	4.31	0.6	3.83	1.21	1.23	0.65	10.59	enfant	19.1																									
75	âne	âne	donkey	0	100	4.2	0.81	2.07	0.87	3.59	0.78	2.33	0.8	2.08	0.8	22.67	bête	16.8																									
76	porte	porte	door	0.29	93	3.3	0.88	4.67	0.61	3.17	0.6	3.4	1.16	1.52	0.77	0.8	poignée	20.2																									
77	poignée	poignée	doorknob	0.89	75	1.87	0.97	4.07	1.2	3.1	0.62	1.93	0.91	4.15	0.83	24.41	porte	45																									
78	robe	robe	dress	0	100	1.8	0.66	3.4	1.19	2.07	0.75	4.27	0.98	1.46	0.65	99.29	jupe	16.8																									
79	commode	commode	dresser	0.15	96	3.3	0.88	4.27	0.83	2.83	0.8	3.07	1.05	2.96	0.87	6.89	armoire	19.1																									
80	tambour	tambour	drum	0	100	3.77	0.68	1.57	0.77	2.79	0.49	2.27	0.83	2.15	0.88	14.76	bruit	22.5																									
81	canard	canard	duck	0.29	93	3.47	0.68	2.5	0.94	2.97	0.73	2.83	0.91	1.85	0.92	12.97	mare	16.8																									
82	aigle	aigle	eagle	0.54	86	3.67	1.09	1.5	0.73	4.34	0.55	2.53	0.86	2.73	1	11.35	oiseau	21.3																									
83	oreille	oreille	ear	0	100	4.27	0.78	4.93	0.37	2.97	0.68	2.4	1.1	1.35	0.56	141	entendre	20.2																									
84	éléphant	éléphant	elephant	0	100	3.9	0.8	1.4	0.72	4.55	0.57	2.37	0.76	2.04	0.82	7.01	trompe	12.3																									
85	enveloppe	enveloppe	envelope	0.15	96	4.27	0.87	4.23	0.82	1	0	2.87	1.11	2.58	0.76	26.24	–	–																									
86	oeil	oeil	eye	0	100	3.93	0.96	4.9	0.4	3.83	0.76	3.77	1.17	1.38	0.57	193	voir	13.5
87	haie	barrière	fence	0.77	75	1.53	1.17	3	1.14	2.72	0.96	2.7	1.02	3.31	0.84	20.12	–	–
88	doigt	doigt	finger	0.52	79	4.1	0.84	4.9	0.4	2.52	0.74	2.87	1.14	1.31	0.47	167	main	31.5
89	poisson	poisson	fish	0	100	3	0.83	3.33	0.99	3.48	0.63	4.13	1.01	1.62	0.57	36.45	mer	19.1
90	drapeau	drapeau	flag	0	100	3.13	0.97	2.17	0.95	1.79	0.68	4.07	1.11	2.58	0.64	21.99	Français	14.6
91	fleur	fleur	flower	0.15	96	3.4	1.04	3.93	0.94	2.93	0.84	4.5	0.68	1.4	0.58	164	rose	21.3
92	flûte traversière	flûte traversière	flute	0.82	68	4.13	0.78	1.53	0.94	3.83	0.71	2.76	0.87	2.2	0.71	12.67	musique	28.1
93	mouche	mouche	fly	0	100	3.17	0.75	2.6	0.97	4.62	0.62	2.63	1.03	1.77	0.59	33.73	insecte	12.3
94	pied	pied	foot	0	100	4.33	0.88	4.8	0.66	2.41	0.5	2.9	1.32	1.31	0.55	333	chaussure	22.5
95	ballon de rugby	idem	rugby ball	0	100	3.93	0.78	1.93	0.83	2.34	0.67	2.1	0.61	2.96	0.96	–	–	-
96	casque	casque	helmet	0	100	2.2	1.03	2.8	1.3	1.45	0.57	3.37	1.03	2.69	0.68	11.78	moto	31.5
97	fourchette	fourchette	fork	0	100	4	0.83	4.9	0.31	2.66	0.67	2.8	1.13	1.42	0.58	5.87	couteau	49.5
98	renard	renard	fox	0.41	86	3.87	0.94	1.47	0.68	4.1	0.56	2.27	0.58	2.15	0.88	13.27	rusé	19.1
99	cor	cor	french horn	1.05	61	3.13	1.31	1.53	0.78	4.93	0.26	1.93	0.58	4	0.98	7.06	chasse	53.9
100	grenouille	grenouille	frog	0.67	61	4.17	0.87	1.87	0.9	3.69	0.71	2.67	0.88	1.92	0.8	9.18	verte	36
101	poêle	poêle	frying pan	0.82	75	2.67	0.71	4	1.14	1.93	0.46	2.5	1.04	2.73	1.04	19.18	frire	30.3
102	poubelle	poubelle	garbage can	0	100	4.07	1.2	4.37	0.61	3.38	0.56	3.03	1.03	1.81	0.63	3.19	ordures	25.8
103	girafe	girafe	giraffe	0	100	4.47	0.57	1.3	0.65	4.97	0.19	2.17	0.7	2.12	0.81	1.19	cou	60.7
104	verre	verre	glass	0	100	3.63	1.54	4.97	0.18	1.93	0.46	4.07	1.01	1.23	0.51	98.48	eau	28.1
105	lunettes	lunettes	glasses	0.15	96	3.73	0.87	4.03	1.16	2.38	0.68	3.87	1.14	2	0.69	0	soleil	34.8
106	gant	gant	glove	0	100	3.23	0.94	3.97	1.25	2.93	0.65	3.3	1.24	2	0.63	22.71	main	19.1
107	chèvre	chèvre	goat	0.66	79	4.13	0.9	1.8	0.81	3.48	0.57	2.33	0.8	2.12	0.86	15.23	fromage	36
108	gorille	gorille	gorilla	0.29	93	3.37	0.85	1.4	0.86	3.28	0.75	2.37	0.72	2.5	0.91	1.44	singe	33.7
109	raisin	raisin	grapes	0.29	93	4.2	0.66	3.6	0.97	3.76	0.69	2.73	0.98	2.04	0.87	11.57	vin	32.6
110	sauterelle	sauterelle	grasshopper	1.15	54	3	1.11	1.63	0.85	4.97	0.19	2.13	0.86	2.5	0.86	2.93	verte	13.5
111	guitare	guitare	guitar	0.15	96	4.57	0.57	2.9	1.03	3.45	0.78	3.1	1.03	2.5	0.71	4.33	musique	32.6
112	revolver	pistolet	gun	0.73	68	3.57	0.9	1.53	0.73	3.55	0.57	3.03	1.07	2.81	0.8	21.8	–	–
113	cheveux	cheveux	hair	0.68	82	1.9	0.76	4.7	0.65	2.41	0.57	4.1	0.71	1.23	0.43	0	longs	21.3
114	marteau	marteau	hammer	0.15	96	2.33	0.71	2.1	1.06	2.9	0.72	2.17	0.53	2.19	0.75	11.69	clou	40.4
115	main	main	hand	0	100	3.8	0.85	4.97	0.18	2.97	0.68	3.1	1.27	1.12	0.33	892	doigt	32.6
116	cintre	cintre	hanger	0.29	93	4.33	0.84	4.1	0.99	1	0	2.7	0.92	2.88	0.95	3.1	vêtements	27
117	harpe	harpe	harp	0.15	96	4.27	0.94	1.67	1.06	4.76	0.44	2.13	0.51	3.42	1.06	5.1	musique	32.6
118	chapeau	chapeau	hat	0	100	2.93	1.01	2.83	1.23	2.38	0.56	4	0.98	1.62	0.7	87.21	melon	24.7
119	coeur	coeur	heart	0	100	3.73	1.7	3.5	1.25	1	0	3.07	1.01	1.81	0.8	605	amour	28.1
120	hélicoptère	hélicoptère	helicopter	0	100	3.77	0.68	1.97	0.76	3.48	0.74	2.33	0.66	2.72	1.1	0.08	hélice	22.5
121	cheval	cheval	horse	0	100	4.07	0.98	2.63	1.07	3.93	0.65	3.27	1.05	1.54	0.71	135	équitation	10.1
122	maison	maison	house	0	100	2.53	0.78	4.47	1.01	3.24	0.79	4.37	0.89	1.38	0.75	507	famille	14.6
123	fer à repasser	fer à repasser	iron	0	100	2.57	0.9	3.1	1.27	3.52	0.74	2.43	0.9	2.73	0.92	–	–	–
124	table  à repasser	table  à repasser	ironing board	0.56	75	4.33	0.8	3.03	1.25	1.79	0.62	2.23	0.68	3.16	0.85	–	–	–
125	veste	veste	jacket	0.56	75	1.87	0.73	4.23	1.07	3.45	0.74	3.66	0.97	2.69	0.79	20.63	pantalon	10.1
126	kangourou	kangourou	kangaroo	0	100	4.37	0.81	1.07	0.37	4.07	0.53	2.17	0.65	2.88	1.03	0.63	Australie	30.3
127	bouilloire	bouilloire	kettle	1.01	57	2.27	1.08	3.6	1.28	2.93	0.7	2.33	0.76	3.31	0.62	2.04	eau	34.8
128	clé	clé	key	0	100	2.13	0.94	4.97	0.18	2.45	0.51	3.55	0.99	1.88	0.71	62.5	serrure	33.7
129	cerf-volant	cerf-volant	kite	0	100	3.87	0.78	1.8	0.85	2.72	0.65	3.27	1.14	2.58	0.99	1.06	vent	43.8
130	couteau	couteau	knife	0	100	2.8	0.81	4.97	0.18	1.59	0.63	3.2	1.1	1.65	0.69	31.95	couper	24.7
131	échelle	échelle	ladder	0	100	3.97	0.91	2.7	1.02	2.59	0.73	2.67	0.92	2.27	0.96	34.16	monter	30.3
132	lampe	lampe	lamp	0	100	2.73	0.87	4.8	0.41	2	0.53	3.73	0.94	2.04	0.72	71.55	lumière	51.7
133	feuille	feuille	leaf	1.09	61	3.27	1.2	3.6	1	2.76	0.64	4.03	1	1.54	0.65	103	papier	30.3
134	jambe	jambe	leg	0.43	89	3.77	0.73	4.8	0.66	2.34	0.67	2.83	1.12	1.4	0.71	114	pied	21.3
135	citron	citron	lemon	0	100	4.83	0.38	3.63	1.1	1.72	0.7	2.53	0.9	1.88	0.82	5.02	jaune	25.8
136	léopard	léopard	leopard	1.4	36	3.93	0.87	1.37	0.89	4.72	0.45	2.2	0.48	2.69	0.97	0.93	tâches	19.1
137	chou	–	cabbage	–	–	–	–	–	–	–	–	2.2	0.55	2.48	0.87	10.08	légume	32.6
138	ampoule	ampoule	light bulb	0	100	4.53	0.86	3.7	0.75	2.93	0.65	2.3	0.84	2.69	0.84	7.31	lumière	59.5
139	interrupteur	interrupteur	light switch	0.16	93	2.6	0.81	4.66	0.77	2.72	0.88	2.47	0.86	3.27	0.96	0	lumière	72
140	lion	lion	lion	0	100	3.53	0.94	1.5	0.82	4.17	0.54	2.33	0.71	1.69	0.79	17.91	roi	20.2
141	lèvres	bouche	lips	0.56	75	4.03	0.85	4.77	0.57	1.69	0.6	3.43	1.12	1.77	0.71	0	rouge	38.2
142	homard	homard	lobster	0.73	79	3.93	0.94	2.03	0.93	4.03	0.5	2.07	0.45	3.36	1.04	1.74	crustacé	15.7
143	cadenas	cadenas	lock	0	96	4.2	0.61	2.47	1.14	2.14	0.58	2.47	0.86	3.38	0.9	1.4	fermer	21.3
144	moufle	moufle	mitten	0.15	96	4.23	0.9	2.77	1.33	2.07	0.59	2.27	0.64	2.6	1.35	0.46	gant	43.8
145	singe	singe	monkey	0.43	93	3.03	1	1.4	0.72	3.41	0.63	3.37	1.1	1.8	0.82	16.46	grimace	12.3
146	lune	lune	moon	0.52	79	3.6	1.19	3.8	0.89	1.03	0.19	3.2	1.16	1.77	0.65	84.49	nuit	18
147	moto	moto	motorcycle	0	100	3.6	0.89	3	1.23	5	0	3.5	0.97	2.23	1.03	1.57	vitesse	23.6
148	montagne	montagne	mountain	0.29	93	2.83	1.05	2.67	1.27	2.93	0.7	3.7	1.15	1.88	0.65	101	neige	27
149	souris	souris	mouse	0.29	93	4.27	0.74	2.27	1.11	3.38	0.68	2.63	1.03	1.62	0.75	10.42	rat	21.3
150	champignon	champignon	mushroom	0	100	3.67	0.99	2.9	0.88	3	0.65	3.57	1.07	2.35	1.06	6.42	vénéneux	30.3
151	clou	clou	nail	0.15	96	4.37	0.76	2.7	0.95	1.66	0.55	2.6	1.07	2.31	0.79	18.59	marteau	42.7
152	lime	lime	nail file	0	100	2.23	1.04	3	1.41	2.9	0.72	2	0.37	3.19	0.9	1.57	vernis	14.6
153	collier	collier	necklace	0.47	82	3.9	1.03	3.33	1.09	1.79	0.94	3.77	1.19	1.86	0.69	13.01	perles	41.6
154	aiguille	aiguille	needle	0.8	71	4.9	0.31	2.7	1.12	1.55	0.69	2.53	0.73	2.52	0.71	21.9	fil	38.2
155	nez	nez	nose	0	100	3.6	0.89	4.9	0.31	1.79	0.56	3.17	1.23	1.12	0.33	107	bouche	10.1
156	écrou	écrou	nut	0.69	50	3.9	1.45	1.9	1.03	2.21	0.62	2	0.64	3.92	0.95	0.72	vis	43.8
157	oignon	oignon	onion	0.33	79	2.8	0.89	2.87	1.07	3.59	0.68	2.23	0.86	2.58	0.7	6.04	ail	16.8
158	orange	orange	orange	0.29	93	4	0.95	4.03	1.1	1.76	0.69	2.47	1.01	1.62	0.75	11.65	jus	25.8
159	autruche	autruche	ostrich	0.15	96	4.2	0.85	1.1	0.31	3.72	0.45	2.07	0.58	2.88	0.93	1.95	oeuf	23.6
160	hibou	hibou	owl	0.52	79	4.37	0.67	1.67	0.8	4.1	0.41	2.3	0.65	2.48	0.82	3.23	nuit	42.7
161	pinceau	pinceau	paintbrush	0.15	96	4.1	1.12	2.57	1.25	2.52	0.78	3.03	0.85	2.23	0.86	9.14	peinture	63
162	pantalon	pantalon	pants	0.15	96	3.4	0.86	4.87	0.43	2.28	0.53	3.7	1.09	1.54	0.76	28.46	jupe	18
163	pêche	pêche	peach	1.12	50	3.5	1.11	2.87	0.94	2.14	0.79	2.47	0.9	2.12	1.11	12.29	poisson	21.3
164	paon	paon	peacock	0	100	4.07	0.87	1.37	0.81	4.93	0.26	2.13	0.63	3.08	1.23	4.72	roue	28.1
165	cacahouète	cacahouète	peanut	0	100	3.87	1.38	2.6	0.89	2.59	0.82	2.2	0.71	2.35	0.85	1.06	apéritif	25.8
166	poire	poire	pear	0	100	4.4	0.67	3.37	1.03	1.14	0.35	2.5	0.94	1.81	0.63	5.31	pomme	22.5
167	stylo	stylo	pen	1.1	54	3.5	1.04	4.9	0.4	2.79	0.68	3.83	1.09	1.8	0.76	3.4	plume	29.2
168	crayon	crayon	pencil	0	100	4.23	0.68	4.83	0.38	2.5	0.64	3.83	0.95	1.38	0.57	19.39	papier	29.2
169	pingouin	pingouin	penguin	0.15	96	3.27	0.94	1.37	0.93	2.66	0.48	2.17	0.65	2.77	0.95	0.42	banquise	22.5
170	poivron	poivron	pepper	0	93	3.17	1.12	2.47	1.01	2.62	0.49	2.4	0.81	3.23	1.03	0.51	rouge	42.7
171	piano	piano	piano	0	100	3.8	1.16	3.1	1.37	4.72	0.59	2.93	0.94	2	0.8	39.73	musique	33.7
172	cochon	cochon	pig	0.6	71	3.6	1.04	1.83	0.87	3.21	0.77	2.43	0.77	1.76	0.78	17.91	porc	19.1
173	ananas	ananas	pineapple	0	100	4.77	0.43	2.73	1.11	4.52	0.69	2.28	0.7	2.46	0.76	1.1	fruit	26.9
174	pipe	pipe	pipe	0	100	3.9	0.8	1.93	0.94	1.93	0.46	2.73	0.94	2.46	0.86	26.58	tabac	34.8
175	pichet	cruche	pitcher	1.34	36	3.43	1.04	3.97	0.93	1.76	0.51	2.43	0.73	3.65	0.89	0.59	–	–
176	pince	pince	pliers	0.57	86	3.57	1.04	2.07	1.11	2.24	0.69	2.27	0.83	3.12	0.99	3.48	à linge	38.2
177	prise	prise	plug	0	96	1.83	0.99	3.6	1.07	2.55	0.51	2.23	0.77	2.92	0.93	47.3	courant	33.7
178	sacoche	sac	pocketbook	1.06	50	2.8	1.16	4.37	1.07	2.86	0.52	3.03	0.96	3.46	0.81	1.57	–	–
179	casserole	casserole	pot	0	100	3.6	0.86	4.5	0.78	2.14	0.44	3.07	0.83	1.96	0.72	7.35	cuisine	31.5
180	pomme de terre	pomme de terre	potato	0.53	75	4.07	0.91	3.97	0.93	1.97	0.94	2.83	0.95	1.84	0.75	–	–	–
181	citrouille	citrouille	pumpkin	0.29	93	3.6	0.89	1.9	0.8	2.34	0.67	2.5	0.82	2.77	1.07	0.85	cendrillon	27
182	lapin	lapin	rabbit	0	100	4.07	0.78	2.67	1.09	3.14	0.64	2.9	1.06	1.65	0.8	20.12	oreilles	12.3
183	raton-laveur	raton-laveur	raccoon	0.91	54	2.63	1.22	1.13	0.43	4.59	0.5	1.97	0.49	3.15	0.92	–	animal	16.8
184	tourne-disque	tourne-disque	record player	0.65	82	3.57	0.94	2.07	0.94	3.52	0.83	2.77	0.82	3.04	0.84	0.8	musique	43.8
185	frigidaire	frigidaire	refrigerator	1.01	54	3.83	0.87	4.73	0.52	2.31	0.6	2.53	0.82	2.31	0.88	0.34	froid	42.7
186	rhinocéros	rhinocéros	rhinoceros	0	100	4.17	0.87	1.17	0.46	3.93	0.8	2.1	0.66	2.96	1.15	1.1	corne	42.7
