		Lang				Ito				Libkuman				
bees    	1390	4.5	1.56	5.29	1.97	3.62	1.84	5.17	2.73	25	3.08	1.58	3.72	2.48
seal    	1440	8.19	1.53	4.61	2.54	7.5	2.59	4.3	3.13	26	6.81	1.7	3.15	2.15
gannet  	1450	6.37	1.62	2.83	1.87	6.81	1.98	2.85	2.16	25	4.68	1.44	1.8	1.32
kitten  	1460	8.21	1.21	4.31	2.63	7.26	1.54	4.09	2.57	50	6.86	1.68	3.57	2.37
kittens 	1463	7.45	1.76	4.79	2.19	7.52	2.36	4.45	2.63	38	7.47	1.52	3.74	2.58
dog     	1500	7.24	1.88	4.12	2.5	7.04	2.34	4.33	2.56	26	6.12	2.08	3.65	2.38
dog     	1510	7.01	2.07	4.28	2.47	6.89	2.52	5.74	2.54	29	6	2.1	3.03	2.08
cat     	1540	7.15	1.96	4.54	2.35	7.52	1.7	4.33	2.91	25	5.96	1.84	4.16	2.75
hawk    	1560	5.97	2.32	5.51	2.19	4.81	2.24	5.7	2.25	38	4.34	1.89	3.26	2.21
horse   	1590	7.18	1.64	4.74	2.13	7.37	1.61	4.02	2.09	38	5.05	1.87	2.45	1.94
horse   	1600	7.37	1.56	4.05	2.37	6.96	1.56	3.81	2.32	25	5.96	1.99	3.04	2.63
giraffes	1601	6.86	1.51	3.92	2.07	6.84	1.34	4.13	2.17	51	6.38	1.58	3.82	2
butterfl	1602	6.5	1.64	3.43	1.96	7.29	1.51	4.13	2.55	25	6.44	1.89	4.24	2.52
butterfl	1603	6.9	1.48	3.37	2.2					32	6.47	1.85	3.34	2.35
butterfl	1604	7.11	1.41	3.3	2.17					25	7.04	1.46	2.96	1.94
rabbit  	1610	7.82	1.34	3.08	2.19	8.15	1.46	4.04	2.7	26	6.73	1.76	3.84	2.48
bird    	1616	5.21	1.12	3.95	1.95					40	4.05	1.57	2.93	2.36
springbr	1620	7.37	1.56	3.54	2.34	7.59	1.45	4.07	2.84	41	6.29	1.66	2.49	1.68
coyote  	1640	6.27	2.22	5.13	2.2	5.59	2.36	6.3	2.22	25	5.17	1.05	4.17	2.2
jaguar  	1650	6.65	2.25	6.23	1.99	5.85	2.6	6.33	2.17	41	5.29	1.6	4.44	2.18
gorilla 	1660	6.49	1.89	4.57	2.39	6.44	2.06	5.44	2.34	25	5.64	1.91	2.04	1.49
cow     	1670	6.81	1.76	3.05	1.91	7.04	2.05	3.81	2.42	27	5.3	2.02	2.52	1.58
puppies 	1710	8.34	1.12	5.41	2.34	8.9	0.56	4.07	3.29	25	8.12	1.45	4.04	2.62
lion    	1720	6.79	1.56	5.32	1.82	7.31	1.71	4.76	2.61	25	5.04	1.77	2.88	1.9
lion    	1721	7.3	1.39	4.53	2.21					32	7.41	1.27	4.19	2.18
jaguars 	1722	7.04	2.02	5.22	2.49					25	6.71	2.01	3.6	2.16
owl     	1740	6.91	1.38	4.27	2.03	6.69	1.69	3.24	2.01	25	5.33	1.86	2.52	2.18
bunnies 	1750	8.28	1.07	4.1	2.31	8.52	1.27	3.52	2.86	25	7.4	1	3.56	2.1
hippo   	1810	6.52	1.49	4.45	2.11	6.7	1.79	3.43	2.39	38	5.66	1.96	3.37	2.14
monkies 	1811	7.62	1.59	5.12	2.25	7.32	1.89	5.56	2.04	43	6.53	2.12	3.12	2.15
elephant	1812	6.83	1.33	3.6	2.11					25	7.52	1.56	3.08	2.33
camels  	1850	6.15	1.52	4.06	2.14					40	4.8	1.59	3.48	2.22
fish    	1900	6.65	1.8	3.46	2.32	6.62	2.04	3.19	2.3	25	5.88	1.99	2.32	1.8
grouper 	1910	6.71	1.8	3.29	2.29	6.15	1.71	3.23	2.35	39	6	1.72	3.33	2.59
porpoise	1920	7.9	1.48	4.27	2.53	8.54	1.03	5.35	2.67	26	7.04	1.84	3.8	2.52
shark   	1930	3.79	1.92	6.42	2.07	3.08	2.06	7.54	1.82	26	2.35	1.26	4.85	2.62
shark   	1931	4	2.28	6.8	2.02	4.72	2.03	6.76	1.45	32	3.55	2.08	5.22	2.5
turtles 	1942	6.26	1.76	4.01	2.05					25	6.56	1.92	3.04	2.32
turtle  	1945	4.59	1.68	4.42	2.03					50	4.5	1.66	3.24	2.04
mickey  	1999	7.43	1.47	4.77	2.4	7.3	2.2	4.8	2.88	41	7.34	1.68	4.95	2.42
adult   	2000	6.51	1.83	3.32	2.07	5.96	1.79	3.07	2.23	25	5.05	1.81	2.5	1.44
adult   	2010	6.25	1.84	3.32	2.07	6.56	1.85	3.52	2.03	26	5.31	2.05	2.08	1.87
adult   	2020	5.68	1.99	3.34	1.89	6.37	2	3.81	1.86	25	5.24	2.09	1.44	1
woman   	2030	6.71	1.73	4.54	2.37	6.22	1.73	4.22	2.76	25	5.79	1.14	3	2.43
baby    	2040	8.17	1.6	4.64	2.54	8.22	1.69	5.04	2.77	68	7.63	1.7	3.96	2.68
baby    	2050	8.2	1.31	4.57	2.53	8.21	1.72	4.1	2.7	25	7.84	1.75	3.96	2.56
baby    	2053	2.47	1.87	5.25	2.46	3.32	2.5	5.9	1.62	25	2.71	1.76	5.26	2.47
father  	2057	7.81	1.28	4.54	2.41					29	7	2	3.93	2.15
baby    	2058	7.91	1.26	5.09	2.48					41	7.85	1.04	4.78	2.53
baby    	2070	8.17	1.46	4.51	2.74	8.42	1.06	5.27	2.85	26	7.73	1.87	4.44	3.03
babies  	2080	8.09	1.47	4.7	2.59	8.15	1.41	4.31	2.88	26	6.81	1.77	3.42	2.45
girls   	2091	7.68	1.43	4.51	2.28	8.28	1.14	4.4	2.52	25	6.71	2.6	3.8	2.57
clowns  	2092	6.28	1.9	4.32	2.29	5.92	2.45	4.48	2.02	27	5.52	2.56	3.93	2.48
angryfac	2100	3.85	1.99	4.53	2.57	4.26	2.07	5.15	2.21	51	3.31	1.69	3.06	1.95
angry fa	2110	3.71	1.82	4.53	2.25	3.48	1.81	5.33	2.2	25	2.72	1.93	4.4	2.12
angryfac	2120	3.34	1.91	5.18	2.52	2.89	1.55	6.85	1.81	51	2.68	1.68	3.57	2.21
woman   	2130	4.08	1.33	5.02	2	4.24	1.6	5	2.42	26	3.42	1.58	2.62	1.9
grievfem	2141	2.44	1.64	5	2.03					25	1.84	1.18	3.16	2.17
baby    	2150	7.92	1.59	5	2.63	8.28	1.16	5.16	2.82	25	7.32	1.63	4.92	2.27
father  	2160	7.58	1.69	5.16	2.18	8.41	1.12	4	3.05	41	1.59	1.32	6.27	1.87
father  	2165	7.63	1.48	4.55	2.55					25	8.16	1.03	4.52	2.62
mother  	2170	7.55	1.42	4.08	2.48	7.38	1.58	4.65	2.73	26	5.88	2.07	3.52	2.22
man     	2190	4.83	1.28	2.41	1.8	5.04	1.28	2.54	1.9	27	3.48	1.25	2.41	1.62
neutface	2200	4.79	1.38	3.18	2.17	4.33	1.78	3.78	2.19	26	3.8	1.77	2.15	1.73
hospital	2205	1.95	1.58	4.53	2.23	2.11	1.37	3.43	1.99	39	1.77	1.16	3.67	2.46
fingerpr	2206	4.06	1.4	3.71	2.03					25	4	1.63	2.56	2
bride   	2208	7.53	1.68	5.68	2.34					32	6.56	2.03	4.03	2.39
bride   	2209	7.64	1.46	5.59	2.37					25	7.4	1.19	5.16	2.61
neutface	2210	4.38	1.64	3.56	2.21	4.3	1.32	4.44	2.12	25	3.48	1.59	1.87	1.25
neutman 	2214	5.01	1.12	3.46	1.97					50	4.51	1.58	2.44	1.7
neut man	2215	4.63	1.24	3.38	2					25	4.4	1.12	2.08	1.58
children	2216	7.57	1.31	5.83	2.2					43	7	1.57	3.07	2.18
maleface	2220	5.03	1.39	4.93	1.65	4.1	1.47	4.72	2.37	50	4.27	1.85	3.88	2.18
judge   	2221	4.39	1.21	3.07	2.08					39	3.67	1.44	2.72	1.86
sad face	2230	4.53	1.22	4.13	1.68	4.21	1.54	2.86	2.01	29	3.76	1.68	2.07	1.46
neutchil	2240	6.53	1.48	3.75	2.14					26	5.65	2.15	2.46	1.53
neutbaby	2250	6.64	2.26	4.19	2.28	6.7	2.38	3.89	2.14	25	6.08	2.55	3.96	2.21
neutbaby	2260	8.06	1.42	4.26	2.44	7.89	1.78	4.15	2.8	41	5.12	2.69	7.1	1.46
neuchild	2270	6.28	1.62	3.15	2.03					43	5.26	1.29	2.35	1.7
woman   	2271	4.2	1.26	3.74	1.69					43	3.63	1.62	2.16	1.48
girl    	2276	2.67	1.66	4.63	1.93					25	2.08	1.26	3	2.16
boy     	2280	4.22	1.54	3.77	1.89					25	4.22	1.65	2.22	1.38
children	2303	6.83	2.07	5.53	2.1					50	6.7	1.81	3.94	2.31
girl    	2304	7.22	1.31	3.63	2.15					25	6.08	2.1	3.04	2.09
mother  	2310	7.06	1.52	4.16	2.01					26	6.88	1.95	3.5	1.92
mother  	2311	7.54	1.37	4.42	2.28					25	6.96	1.65	4.04	2.47
mother  	2312	3.71	1.64	4.02	1.66					38	4	2.03	3.24	1.94
girl    	2320	6.17	1.51	2.9	1.89					38	5.45	2.18	2.95	2.22
chef    	2331	7.24	1.72	4.3	2.38					29	6.96	1.88	3.54	2.35
family  	2340	8.03	1.26	4.9	2.2	7.9	1.9	4.28	2.86	25	1.96	1.49	3.24	2.37
children	2341	7.38	1.59	4.11	2.31					26	6.92	1.68	3.36	2.12
children	2344	6.72	1.89	4.71	2.04					25	5.56	1.66	3.44	2.47
children	2345	7.41	1.72	5.42	2.47					25	7.4	1.47	3.96	2.21
nursinba	2351	5.49	2.04	4.74	2.05	5.93	2.28	3.54	2.28	25	5.87	1.74	3.09	2.22
kiss    	2352	6.94	1.87	4.99	1.98	6.06	2.59	4.97	2.4	25	6.75	2.19	3.96	2.53
kiss    	2352.1	7.27	1.79	5.16	2.17					25	6.56	1.89	4	1.96
bloodyki	2352.2	2.09	1.5	6.25	2.1					25	1.92	2.43	4.8	3.04
family  	2360	7.7	1.76	3.66	2.32	7.92	1.81	4.69	3.03	25	6.88	1.45	4.13	2.19
threemen	2370	7.14	1.46	2.9	2.14	7	1.5	3.35	2.54	25	6.88	1.2	3.36	2.16
woman   	2372	5.48	1.63	4.09	1.99					25	4.28	1.59	2.24	1.54
girl    	2381	5.25	1.22	3.04	1.97					25	4.68	1.25	2.36	1.78
secretar	2383	4.72	1.36	3.41	1.83					25	4.28	1.95	2.76	2.05
girl    	2385	5.2	1.32	3.64	1.81					25	4.52	1.94	2.4	2.08
teens   	2389	6.61	1.69	5.63	2					26	5.77	2.01	4.69	2.6
boy     	2391	7.11	1.77	4.63	2.43	6.8	2.17	4.1	3.02	25	6.32	1.77	2.68	1.93
boy     	2410	4.62	1.72	4.13	2.29	4.96	1.43	3.96	1.69	38	3.79	1.65	2.89	1.96
neutgirl	2440	4.49	1.03	2.63	1.7					26	4.19	1.23	2.42	1.75
elderlym	2480	4.77	1.64	2.66	1.78					41	3.88	2.05	2.44	1.96
man     	2485	5.69	1.36	3.74	1.84					25	4.88	1.81	2.28	1.65
musician	2487	5.2	1.8	4.05	1.92					26	4.31	1.89	2.35	1.92
man     	2490	3.32	1.82	3.95	2	2.65	1.56	3.78	2.39	25	3.16	1.86	1.64	1.25
man     	2495	5.22	1.1	3.19	1.76					41	4.68	1.39	2.39	1.83
man     	2500	6.16	1.54	3.61	1.91	6.42	1.77	3.88	2.05	27	6.44	1.48	2.74	1.89
couple  	2501	6.89	1.78	3.09	2.21	7.8	1.36	3.6	2.52	25	6.22	2.07	3.78	2.43
eldwoman	2510	6.91	1.91	4	2.1	6.8	2.29	4.44	2.17	40	7.13	1.66	3.1	2.27
woman   	2514	5.19	1.09	3.5	1.81					41	1.22	0.69	4.39	1.28
harvast 	2515	6.09	1.54	3.8	2.12					25	6.16	1.82	2.2	2
elderwom	2516	4.9	1.43	3.5	1.88					40	5.1	1.45	2.55	1.8
quilting	2518	5.67	1.66	3.31	1.88					40	5.53	1.85	3.08	2.09
elderman	2520	4.13	1.9	4.22	1.69	3.34	1.95	3.97	2.06	40	3.45	1.54	2.7	1.98
couple  	2530	7.8	1.55	3.99	2.11	7.79	1.24	3.45	2.44	25	6.76	2.09	3.8	2.12
mother  	2540	7.63	1.51	3.97	2.33	8.21	1.35	3.97	3.01	43	6.63	2	2.95	2.13
couple  	2550	7.77	1.43	4.68	2.43	7.43	1.83	4.09	2.64	25	7.36	1.15	2.4	1.8
picnic  	2560	6.34	1.53	3.49	2.07					25	5.44	1.56	3.92	2.4
man     	2570	4.78	1.24	2.76	1.92					25	4.63	1.66	2.29	1.6
propelle	2575	5.46	1.15	4.16	2.1					68	4.1	1.7	2	1.48
chess   	2580	5.71	1.41	2.79	1.78					25	1.92	2.43	4.8	3.04
elderlyw	2590	3.26	1.92	3.93	1.94	4	1.83	4	1.88	25	3.88	2.13	2	1.55
beer    	2600	5.84	1.85	4.16	1.74	6.28	2.37	3.79	2.66	39	4.82	1.14	2.92	1.83
dancer  	2616	5.97	1.77	4.96	2.05					25	4.52	1.9	3.29	2.16
woman   	2620	5.93	1.63	2.72	2.16	6.08	1.7	3.35	2.48	25	4.67	1.43	2.52	1.92
male    	2630	6.35	1.92	3.92	2.53	5.46	1.98	4.27	2.68	25	5.24	1.9	3.24	2.24
boy     	2650	7.27	1.67	4.28	2.41	7.25	2.15	3.9	3.14	51	6	1.67	3.31	2.09
child   	2655	6.88	2.09	4.57	2.19					25	7.32	1.86	3.76	2.52
baby    	2660	7.75	1.48	4.44	2.41	7.39	1.56	3.78	2.24	41	7.17	1.56	3.88	2.4
baby    	2661	3.9	2.49	5.76	2.13	3.88	2.37	6	2.31	25	3.72	2.67	5.04	2.56
police  	2681	4.04	1.6	4.97	2.26					26	3.54	1.68	3.36	2.23
Police  	2682	3.69	1.65	4.48	2.1					25	3.08	2.02	2.44	1.83
terroris	2690	4.78	1.43	4.02	2.07	3.73	1.95	5.85	2.66	29	3.38	1.68	3.24	2.17
riot    	2691	3.04	1.73	5.85	2.03	3.48	2.1	6.16	1.86	25	2	1.61	4.28	2.26
bomb    	2692	3.36	1.61	5.35	2.19					38	2.37	2.16	5.08	2.66
woman   	2700	3.19	1.56	4.77	1.97	2.96	1.61	4.77	2.14	26	3.23	1.66	3.88	2.08
bingeat 	2702	5.21	1.61	3.92	2.34					50	4.56	1.62	3.68	2.12
drugaddi	2710	2.52	1.69	5.46	2.29	2.31	1.49	6	2.48	40	2.28	1.72	3.2	2.37
urinatin	2720	5.43	1.59	3.43	1.91	4.46	2.14	4.46	2.39	25	4.68	1.22	3.68	1.8
jail    	2722	3.47	1.65	3.52	2.05					25	3.44	1.61	2.76	1.51
nativebo	2730	2.45	2.25	6.8	2.21	1.46	1.42	6.96	2.47	51	1.69	1.24	3.61	2.62
smoking 	2749	5.04	1.39	3.76	2.03					38	4.13	1.61	2.11	1.5
bum     	2750	2.56	1.32	4.31	1.81	3.2	2.42	5.2	2.89	26	2.54	1.9	3.42	2.39
drunkdri	2751	2.67	1.87	5.18	2.39					41	1.71	1.29	5.45	2.95
alcoholi	2752	4.07	1.84	4.3	1.94					25	2.6	1.91	2.44	2.2
alcoholi	2753	3.17	1.75	4.29	2.22					48	3.31	1.73	2.72	2.09
balloons	2791	6.64	1.7	3.83	2.09	6.32	1.54	4.06	2.54	32	6.25	1.37	3.78	2.32
sad chil	2800	1.78	1.14	5.49	2.11	1.73	1.25	6.15	2.48	25	2.04	1.71	5.79	2.54
boy     	2810	4.31	1.65	4.47	1.92	4.08	1.65	5.46	2.37	27	3.07	1.59	4.81	2.29
woman   	2830	4.73	1.6	3.64	2.23					40	3.7	1.62	4.4	2.44
chess   	2840	4.91	1.52	2.43	1.82	6	2.1	2.5	2.42	26	3.77	1.37	2.54	1.9
tourist 	2850	5.22	1.39	3	1.94					26	4.92	1.2	3.04	2.25
teenager	2870	5.31	1.41	3.01	1.72					25	5	1.71	3.24	2.17
shadow  	2880	5.18	1.44	2.96	1.94					25	3.96	1.54	1.68	1.14
twins   	2890	4.95	1.09	2.95	1.87					29	4.28	1.46	2.38	1.82
cryinboy	2900	2.45	1.42	5.09	2.15	3.09	2	4.55	2.32	52	1.94	1.01	3.62	2.29
cryboy  	2900.1	2.56	1.41	4.61	2.07	.	.	.	.	41	2.05	0.97	4.88	2.33
mutilati	3000	1.45	1.2	7.26	2.1	1.37	1.07	7.73	2.28	41	1.05	0.38	6.22	3.18
mutilati	3010	1.71	1.19	7.16	2.24	1.68	1.45	7.19	2.53	40	1.48	1.5	4.33	3.25
accident	3015	1.52	0.95	5.9	2.82					41	2.78	2.24	3.6	2.8
scream  	3022	3.7	1.91	5.88	2.08					50	3.1	1.81	4.08	2.26
mutilati	3030	1.91	1.56	6.76	2.1	1.81	1.14	7.04	2.38	25	1.48	0.92	3.28	2.78
mutilati	3051	2.3	1.86	5.62	2.45	2.35	2.26	7.1	1.83	41	3.15	2.72	1.24	0.92
burnvict	3053	1.31	0.97	6.91	2.57	1.16	0.55	8.44	1.78	27	1	0	5.22	3.3
mutilati	3060	1.79	1.56	7.12	2.09	2.13	1.98	6.57	2.63	26	1.25	0.53	4.96	2.81
mutilati	3061	2.32	1.61	5.28	2.6					25	1.76	1.16	5.28	2.54
mutilati	3062	1.87	1.31	5.78	2.57					25	1.2	0.71	4.58	3.06
mutilati	3063	1.49	0.96	6.35	2.6					25	1.32	1.6	4.04	2.86
mutilati	3064	1.45	0.97	6.41	2.62					40	1.33	1.31	5.33	3.06
mutilati	3071	1.88	1.39	6.86	2.05	2.3	2.18	7.2	2.82	25	1.2	0.82	5.28	3.06
mutilati	3080	1.48	0.95	7.22	1.97	2.3	2.18	7.1	2.71	25	1.35	1.47	5.71	3.54
burnvict	3100	1.6	1.07	6.49	2.23	1.5	1.15	6.96	2.48	25	1.88	2.13	5.56	2.55
burnvict	3102	1.4	1.14	6.58	2.69	1.96	2.24	7.8	2.52	25	1.2	0.5	5.56	2.87
burnvict	3110	1.79	1.3	6.7	2.16	1.4	1.05	6.5	2.82	38	1.58	1.83	4.16	3.13
deadbody	3120	1.56	1.09	6.84	2.36	1.67	1	7.67	1.66	40	1.03	0.16	4.18	2.93
mutilati	3130	1.58	1.24	6.97	2.07	1.48	1.05	7.93	1.82	26	1.46	1.14	3.96	2.73
deadboy 	3140	1.83	1.17	6.36	1.97	1.64	1.31	7.16	2.39	26	1.48	1.33	4.56	2.79
mutilate	3150	2.26	1.57	6.5	2.2	1.76	1.32	7.14	2.37	25	1.42	1.32	3.88	3.28
eyedisea	3160	2.63	1.23	5.35	1.79	1.76	1.09	5.79	2.72	25	1.92	1.35	4.76	2.68
mutilati	3168	1.56	1.06	6	2.46					25	1.4	1.63	2.68	2.75
btumor  	3170	1.46	1.01	7.21	1.99	1.21	0.82	7.66	1.93	41	1.17	0.54	5.44	3.03
battefem	3180	1.92	1.13	5.77	2.21	1.77	1.03	6.19	2.47	40	1.6	1.48	3.35	2.63
batfemal	3181	2.3	1.43	5.06	2.11					25	1.12	0.33	4.48	2.9
scar    	3190	3.69	1.67	5.01	1.95	3.25	1.92	3.86	2.34	25	2	1.12	3	2.12
surgery 	3210	4.49	1.91	5.39	1.91	4.78	2.29	5.62	2.28	29	3.52	1.66	4.21	2.34
hospital	3220	2.49	1.29	5.52	1.86	1.66	1.08	5.52	2.4	41	1.95	1.12	4.44	2.45
dyingman	3230	2.02	1.3	5.41	2.21	1.59	1.05	5.93	2.75	39	1.33	0.77	3.9	2.58
openches	3250	3.78	1.72	6.29	1.63	3.1	2.3	6.38	2.64	26	1.92	1.35	4.38	2.95
tumor   	3261	1.82	1.34	5.75	2.64					43	1.33	0.52	4.28	3.04
injury  	3266	1.56	0.98	6.79	2.09					25	3.44	1.61	2.76	1.51
dentalex	3280	3.72	1.89	5.39	2.38	3.09	1.76	4.83	2.62	41	2.97	1.99	3.73	2.42
disachil	3300	2.74	1.56	4.55	2.06	3.79	2.13	3.64	2.11	38	2.34	1.76	3.95	2.43
injchild	3301	1.8	1.28	5.21	2.26					26	1.38	0.64	3.81	2.65
infant  	3350	1.88	1.67	5.72	2.23	1.91	1.88	6.04	2.7	25	2.4	2.18	5	2.66
severedh	3400	2.35	1.9	6.91	2.22	2.65	2.23	6.26	2.7	50	1.5	1.29	4.94	2.93
attack  	3500	2.21	1.34	6.99	2.19	3.13	1.91	5.43	2.71	26	2.15	1.91	4.27	2.62
attack  	3530	1.8	1.32	6.82	2.09	2.6	1.79	5.4	3.22	40	1.93	1.58	5.33	2.77
injury  	3550	2.54	1.6	5.92	2.13	2.2	1.77	5.7	2.92	29	1.9	1.29	4	2.59
plane cr	3550.1	2.35	1.39	6.29	1.96					25	1.78	1.24	6.17	2.1
coach   	3550.2	4.92	1.62	5.13	2.24					38	3.71	1.72	3.16	2.01
artist  	4000	4.82	1.66	3.97	2.15					25	4.68	1.22	3.68	1.8
eroticfe	4001	5.24	2.45	5.24	2.49	5.61	1.99	4.18	2.13	25	4.04	2.28	3.48	2.18
eroticfe	4002	5.78	2.43	5.32	2.69	5.57	2.36	4.5	2.06	39	3.46	2.8	3.64	2.8
erotfema	4003	5.48	2.05	5.09	2.07	5.29	1.51	3.61	2.23	41	1.51	1.34	4.46	2.49
erotfema	4004	5.14	1.85	4.44	2.14	5.29	1.51	3.54	1.6	40	4.1	1.96	2.85	2.08
eroticfe	4005	5.43	2.08	5.02	2	5.04	1.45	3.81	1.96	25	2.88	1.79	2.92	2.23
maledanc	4100	6.11	1.66	4.39	1.75	5.34	1.84	2.83	2.33	40	5.68	2.12	2.8	2.4
feattrac	4150	6.53	1.86	4.86	2.55	5.91	2.5	4.91	3	41	4.78	2.32	3.83	2.53
eroticfe	4180	6.21	2.57	5.54	2.89	5.79	2.2	4.89	2.38	51	4.1	2	3.47	2.41
eroticfe	4210	5.72	2.97	6.08	2.81	5.04	2.53	4.64	2.57	41	3.66	2.57	5.02	2.43
erotfema	4220	8.02	1.93	7.17	2.69	5.86	1.99	4.21	2.11	40	4.4	2.35	3.45	2.58
prostitu	4230	4.86	2.34	4.7	2.21	4.43	2.03	3.75	2.59	68	3.04	2.03	3.33	2.29
erotfema	4232	5.95	2.53	6.28	2.31	4.79	2.27	4.57	2.39	26	5.46	3.06	5.38	3.04
prostitu	4233	4.56	1.86	3.96	2.15					41	4.68	2.42	4	2.51
erotfema	4235	5.39	2.5	5.29	2.75					38	4.05	2.57	4.39	2.68
eroticfe	4240	5.34	2.44	4.88	2.75					25	3.52	2.29	3.36	2.18
femaleat	4250	6.79	2.05	5.16	2.76	5.93	1.39	3.64	2.02	29	5.1	1.37	2.9	2.21
femaleat	4274	5.42	1.83	4.18	2.39					27	4.63	2.02	3.19	2.76
attracfe	4275	5.7	2.01	4.41	2.45					25	5.08	2.33	3.44	2.87
eroticfe	4279	5.47	2.04	4.38	2.61					26	3.23	1.86	2.68	2.1
eroticfe	4290	7.61	2.56	7.2	2.63	5	2.67	5.04	2.47	25	2.16	1.72	3.04	2.28
erotfema	4300	5.7	2.36	5.99	2.34	5.36	2.72	5.04	2.35	26	5	2.8	5.04	2.86
eroticfe	4302	4.99	2.64	5.68	2.69					39	3.13	2.65	3.69	2.87
erotfem 	4310	4.99	2.64	5.68	2.69	5.82	2.33	4.75	2.07	25	3.64	2.29	3.44	2.5
erotfema	4320	6.01	2.12	5.11	2.34	5.32	1.74	3.93	1.92	40	4	2.43	4.49	2.58
erotic m	4460	5.6	1.61	4.94	2.09	5.04	2.53	4.43	2.82	25	4.24	1.96	4.52	2.6
eroticma	4470	5.87	1.63	4.81	2.31	4.86	2.19	4.14	2.69	26	4.08	1.92	3.92	2.28
eroticma	4490	6.27	1.95	6.06	2.42	4.43	2.54	3.71	2.45	41	3.59	2.52	4.49	2.77
attraman	4500	5.7	2.12	3.68	2.42	5.04	1.93	3.85	2.05	40	5.4	2.39	4.45	2.74
attracma	4510	5.51	2.5	3.89	2.86	5.46	2.03	3.43	2.39	43	4.93	1.97	3.56	2.42
erotic m	4520	6.16	1.54	4.8	2.25	5.39	2.11	4.21	2.69	67	4.18	2.35	3.94	2.33
erotmale	4530	6.19	1.82	5.31	2.4	4.96	1.93	3.86	2.63	43	3.05	1.7	3.09	1.82
