"Actual Frequency Count, Ratings of Familiarity (Means and Standard Deviations),
and Ratings of Pronounceability (Means and Standard Deviations) of Names"					
		Familiarity		Pronounceability	
Name	Frequency	M	SD	M	SD
Ahjuder	111	1.05	0.22	2.8	1.73
Aleksandrovic	1	1.38	0.88	3.23	2.02
Allen	107	5.93	1.34	6.93	0.45
Aloisio	2	1.45	1.24	2.91	1.7
Andricks	1	2.16	1.54	6.09	1.05
Asam	1	1.55	0.98	5.05	1.84
Asmus	1	1.64	1.12	5.09	1.7
Atkinson	17	3.66	1.88	6.32	1.22
Avalos	1	2.19	1.74	5.18	1.48
Bara	1	2.03	1.49	6.05	1.26
Bataille	1	1.59	0.99	4.27	1.65
Bause	1	1.97	1.38	4.91	1.74
Bayarri	1	1.28	0.81	3.73	1.63
Beer	10	5.86	1.75	6.91	0.6
Benitez	4	1.98	1.33	4.77	1.94
Bissig	1	1.28	0.59	4.35	2.1
Boerstler	1	1.34	0.74	3.89	1.7
Bollinger	6	3.4	1.83	6.16	1.2
Boscia	1	1.66	1.13	4.57	1.72
Botich	1	1.67	1.08	4.43	1.78
Bousum	2	1.97	1.86	3.95	1.63
Brehony	1	1.47	0.8	4.8	1.58
Breland	1	1.81	1.15	5.45	1.69
Brush	5	3.88	2.32	6.82	0.76
Buehler	3	3.74	1.93	5.73	1.53
Bulza	2	1.47	0.86	5.2	1.47
Burney	4	2.88	1.7	6.32	0.96
Butcher	14	4.64	1.77	6.82	0.66
Cahn	2	2.55	1.44	6.39	0.99
Candler	2	2.43	1.52	6.09	1.2
Canvin	1	1.76	1.13	5.55	1.52
Caparell	1	1.74	0.95	5.32	1.57
Chavarria	1	1.43	0.9	4.61	1.86
Chittur	1	1.33	0.82	4.47	1.79
Cischke	1	1.26	0.78	2.93	1.4
Claxton	5	2.02	1.22	5.95	1.51
Coady	1	2.22	1.67	5.84	1.36
Coppock	1	1.69	1.11	5.75	1.28
Cowsert	1	1.64	1.21	4.61	1.83
Cretsinger	1	1.84	1.36	5.34	1.49
Daries	1	2.21	1.53	5.73	1.45
Depew	6	2.53	1.79	5.95	1.24
Dickes	1	2.97	1.97	5.91	1.39
Doppelfeld	2	1.64	1.02	5.73	1.42
Dukleski	1	1.57	1.06	4.57	1.85
Earl	7	4.76	1.73	6.75	0.69
Easley	1	2.67	1.66	6.14	1.3
Ecer	1	1.36	0.67	4.25	1.73
Enge	1	1.67	1	4.5	1.56
Enriquez	1	2.64	1.8	4.89	2.13
Etheridge	1	4.05	1.94	6.27	1.39
Fayle	1	1.72	1.24	5.25	1.69
Fennimore	1	2.29	1.5	5.7	1.5
Filipowski	2	2.17	1.81	4.77	1.82
Fiss	1	1.81	1.25	6.34	1.29
Fladhammer	1	1.36	0.69	5.57	1.4
Forston	1	2.26	1.65	6.05	1.24
Franta	1	1.45	0.86	5.41	1.51
Frantal	1	1.43	0.77	5.5	1.41
Friedline	1	1.71	1.01	5.05	1.72
Gams	1	1.61	0.92	6.32	1.33
Garcia	64	5.17	1.69	6.48	1.3
Gettes	1	2.43	1.57	5.57	1.45
Ghosechowdhury	1	1.09	0.34	1.8	1.23
Goellner	1	1.78	1.3	4.64	1.79
Goldstein	1	3.81	1.78	6.43	0.9
Grice	2	1.86	1.25	5.39	1.6
Gulden	1	2.07	1.37	5.77	1.31
Gyambiby	1	1.24	0.57	2.75	1.95
Haberkorn	1	1.41	0.86	5.23	1.84
Hammonds	2	4.55	1.78	6.77	0.57
Heichelbech	3	1.79	1.29	4.2	1.68
Hesse	1	2.98	1.82	5.57	1.53
Hodina	1	1.38	0.67	4.95	1.63
Hofer	4	2.5	1.7	5.77	1.31
Hoggard	1	2.22	1.49	6.09	1.22
Hoppes	2	2.38	1.51	5.98	1.21
Horvath	6	2.24	1.96	4.84	1.66
Houseman	2	3	1.82	6.75	0.58
Hsieh	12	1.03	0.18	2.05	1.29
Hunsley	1	2.59	1.6	6.2	0.98
Ichniowski	1	1.28	0.89	3.45	1.91
Ippolito	1	1.26	0.93	3.7	1.96
Jasiewicz	1	1.64	1.33	3.09	2.01
Jasinski	3	2.28	1.55	5.16	1.68
Jaskula	1	1.36	0.77	4.12	1.87
Jauregui	1	1.26	0.87	2.75	1.74
Jerpe	1	1.47	1.05	4.18	1.94
Jez	1	1.5	0.92	5.3	1.98
Joern	1	1.43	0.92	3.93	1.8
Kaiser	25	4.26	1.84	6.45	1.13
