Spanish word,,Concept,Age of ,,Lexical,Word,Word
(English translation),Typicality,Familiarity,Acquisition,Imageability,Availability,Frequency,Length
,,,,,,,
BODY PARTS,,,,,,,
Abdomen (abdomen),4.92,3.32,8.68,5.08,4.195,5,3
Ano (anus),3.36,3,8.36,5.08,2.672,2,2
Antebrazo (forearm),4.12,2.92,8.2,6.08,11.107,6,4
arteria (artery),2.88,2.52,8.88,4.68,1.423,1,3
Articulaciones (joints),3.4,3.92,8.72,4.6,1.611,3,5
Axila (armpit),4.24,4.48,7.84,6.32,2.444,2,3
Barba (beard),3.52,4.8,4.04,6.88,1.045,36,2
Barbilla (chin),5.04,4.84,4.36,6.88,1.639,16,3
Biceps (biceps),4.48,4,8.8,5.76,2.067,0,2
Bigote (moustache),3.72,4.68,3.88,6.92,1.106,34,3
Boca (mouth),6.84,6.36,3.02,6.92,39.497,200,2
Brazo (arm),7,6.32,2.98,6.92,71.694,96,2
Cabello (hair),5.4,5.6,4.72,6.84,1.078,44,3
Cabeza (head),7,6.28,2.98,6.8,71.287,418,3
Cadera (hip),5.76,4.88,5.84,6.72,12.007,7,3
Cara (face),6.7,6.52,3.14,6.76,8.897,315,2
Ceja (eyebrow),4.2,5.72,3.92,6.92,12.159,8,2
Cerebelo (cerebellum),2.44,1.68,9.79,4.16,1.001,1,4
Cerebro (brain),4.28,4.36,7.44,5.28,7.956,87,3
Cintura (waist),5.2,5.16,5.72,6,5.811,34,3
Clavícula (collarbone),4.48,3.24,8.68,5.36,1.143,1,4
Codo (elbow),5.28,4.92,5.48,6.28,29.918,17,2
Colon (colon),2.48,2.04,10.44,3.68,1.058,0,2
Corazón (heart),5.36,5.44,5.44,6.4,17.079,190,3
Costilla (rib),4.92,4.2,6.48,6.44,1.918,2,3
Cubito (fibula),2.32,2.24,9.6,4.64,1.253,1,3
Cuello (neck),5.88,5.6,4.08,6.64,31.656,99,2
Culo (bottom),6.04,5.76,3.12,6.76,13.216,37,2
Dedo (finger),6.36,6.04,3.04,6.92,53.948,66,2
Diente (tooth),5.56,6.4,3.78,6.88,19.575,8,2
Esófago (oesophagus),2.84,2.72,8.84,4.4,3.474,2,4
Espalda (back),6.48,5.92,4.4,6.76,19.081,92,3
Esqueleto (skeleton),4,3.32,6.56,6.56,0.982,14,4
Esternocleidomastoideo (a neck muscle),2.44,2.04,10.95,2.6,4.144,0,9
Estómago (stomach),4.84,5.32,6.56,5.28,12.166,43,4
Extremidades (extremities),4.76,4.04,7.04,6.28,3.855,5,5
Falange (phalange),2.64,2.52,9.13,4.76,4.685,4,3
Faringe (pharynx),3.04,2.6,9.12,4.24,2.642,1,3
Femur (femur),3.36,2.48,9.24,5.08,2.564,0,2
Frente (forehead),5.56,4.96,4.88,6.48,5.747,375,2
Gemelo (calf muscle),4.08,4.76,8.68,6.12,3.222,3,3
Glúteo (gluteus),4.24,3.88,8.92,6.48,4.044,1,3
Hígado (liver),4.16,4,7.92,5.56,7.299,12,3
Hombro (shoulder),5.72,5.32,4.68,6.8,29.002,45,2
Hueso (bone),4.96,5.08,4.4,6.68,5.329,22,2
Húmero (humerus),2.96,2.4,8.6,4.6,1.576,0,3
Incisivo (incisor),2.8,2.44,8.6,5,93.5,2,4
Ingle (groin),4,3.48,8.6,5.56,110,3,2
Intestino (intestine),3.64,3.04,8.08,4.92,6.1,3,3
Labio (lip),6.08,6.04,4.3,6.92,8.3,12,2
Laringe (larynx),3.36,2,9.84,4.36,3.3,2,3
Lengua (tongue),5.44,5.8,4.72,6.88,13.5,177,2
Mano (hand),6.92,6.56,3.96,6.96,63,550,2
Mejilla (cheek),5.52,4.96,6.56,6.84,0.9,27,3
Moflete (chubby cheek),5.16,4.48,5.8,6.8,1,4,3
muñeca/s (wrist),5.64,4.2,5.56,6.88,21.2,16,3
Muela (molar),3.92,4.12,6.2,6.96,2.4,2,3
Músculo (muscle),4.6,4.04,7.44,5.68,6.5,9,3
Muslo (thigh),5.4,3.84,7.36,6.76,6.7,11,2
Nariz (nose),6.48,5.48,4.16,6.96,50.4,71,2
Nuca (nape),5.12,3.48,6.8,6.36,2.1,23,2
Oído (ear),5.48,5.24,5.16,5.8,2.9,107,3
Ojo (eye),6.64,6.24,4.08,6.76,60.1,96,2
Ombligo (bellybutton),4.68,4.12,5.4,6.96,8.3,8,3
Omóplato (shoulder blade),3.48,2.16,9.24,5.52,2.6,1,4
Oreja (ear),6.56,4.92,4.32,6.84,48.1,35,3
Ovario (ovary),3.32,3.16,10.48,4.44,1.6,1,3
Pancreas (pancreas),3.12,1.72,10.8,4.04,4.7,0,3
Pantorrilla (calf),4.68,2.4,8.92,5.92,1.4,2,4
Párpado (eyelid),4.16,3.36,7.92,6.68,2.4,3,3
Pecho (breast),6.12,4.08,6.76,6.56,21.7,94,2
Pechos (breasts),5.96,4.96,7.52,6.72,2.2,34,2
Pelo (hair),5.36,6.24,4.4,6.92,27.9,153,2
Pelvis (pelvis),4,2.32,10.48,5.64,1.1,1,2
Pene (penis),5.36,3.52,9.68,6.72,16.1,7,2
Peroné (fibula),3.4,1.96,9.76,5.12,2.2,0,3
Pestaña (eyelash),3.92,4.2,6.44,6.88,8.7,1,3
Pie (foot),6.6,5.96,4.08,7,61.8,193,1
Piel (skin),4.52,5.4,5.44,6.2,1,163,1
Pierna (leg),6.68,5.92,4.64,6.6,58.1,39,2
Pulmón (lung),4.36,4.08,8.28,5.84,13.2,6,2
Radio (radius),2.88,2.44,8.52,5.2,1.9,75,2
Riñón (kidney),4.24,2.8,9.04,5.52,11.7,5,2
Rodilla (knee),5.92,4.04,6,6.56,31.7,11,3
Rótula (kneecap),3.48,2.36,10.28,5.8,1.5,0,3
Talón (heel),4.6,2.36,8.24,6.52,2.6,3,2
Tendón (tendon),3.36,2.36,9.84,5.04,2.2,1,2
Testículo (testicle),4.28,2.64,9.68,6.72,4.1,4,4
Tibia (tibia),3.56,1.92,9.24,5.4,2.8,14,2
Tobillo (ankle),5.36,3.24,6.84,6.48,20.9,4,3
Tórax (thorax),4.52,2,9.6,6,3.2,6,2
Trasero (bottom),5.6,3.56,7.12,6.88,1.3,19,3
Triceps (triceps),3.36,2.24,10.95,5.56,1.4,0,2
Tripa (belly),5.24,4.52,6.32,6.72,3.4,9,2
Tronco (trunk),5.24,2.8,8.14,6.36,15.3,18,2
Uña (nail),4.8,5.28,6.18,6.84,27.6,8,2
Vagina (vagina),4.16,2.96,9.95,6.28,3.8,4,3
Vejiga (bladder),3.72,2.92,9.73,5.56,1,1,3
Vena (vein),3.48,3.24,8.73,5.88,2.4,5,2
